Cyl_O_Service_tk_1;;;;;;;;;;;;;
SND;Ullage;VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10.0;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.0;0.0;0.0;0.0
20.0;;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.0;0.0;0.0;0.0
30.0;;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.0;0.0;0.0
40.0;;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.0;0.0;0.0;0.0
50.0;;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.0;0.0;0.0;0.0
60.0;;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;0.0;0.0;0.0;0.0
70.0;;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;0.0;0.0;0.0;0.0
80.0;;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;0.0;0.0;0.0;0.0
90.0;;1.6;1.6;1.6;1.6;1.6;1.6;1.6;1.6;0.0;0.0;0.0;0.0
100.0;;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;0.0;0.0;0.0;0.0
110.0;;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;0.0;0.0;0.0;0.0
120.0;;2.1;2.1;2.1;2.1;2.1;2.1;2.1;2.1;0.0;0.0;0.0;0.0
130.0;;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;0.0;0.0;0.0;0.0
140.0;;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;0.0;0.0;0.0;0.0
150.0;;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;0.0;0.0;0.0;0.0
160.0;;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;0.0;0.0;0.0;0.0
170.0;;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;0.0;0.0;0.0;0.0
180.0;;3.2;3.2;3.2;3.2;3.2;3.2;3.2;3.2;0.0;0.0;0.0;0.0
190.0;;3.4;3.4;3.4;3.4;3.4;3.4;3.4;3.4;0.0;0.0;0.0;0.0
200.0;;3.5;3.5;3.5;3.5;3.5;3.5;3.5;3.5;0.0;0.0;0.0;0.0
210.0;;3.7;3.7;3.7;3.7;3.7;3.7;3.7;3.7;0.0;0.0;0.0;0.0
220.0;;3.9;3.9;3.9;3.9;3.9;3.9;3.9;3.9;0.0;0.0;0.0;0.0
230.0;;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;0.0;0.0;0.0;0.0
240.0;;4.2;4.2;4.2;4.2;4.2;4.2;4.2;4.2;0.0;0.0;0.0;0.0
250.0;;4.4;4.4;4.4;4.4;4.4;4.4;4.4;4.4;0.0;0.0;0.0;0.0
260.0;;4.6;4.6;4.6;4.6;4.6;4.6;4.6;4.6;0.0;0.0;0.0;0.0
270.0;;4.8;4.8;4.8;4.8;4.8;4.8;4.8;4.8;0.0;0.0;0.0;0.0
280.0;;4.9;4.9;4.9;4.9;4.9;4.9;4.9;4.9;0.0;0.0;0.0;0.0
290.0;;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;0.0;0.0;0.0;0.0
300.0;;5.3;5.3;5.3;5.3;5.3;5.3;5.3;5.3;0.0;0.0;0.0;0.0
310.0;;5.5;5.5;5.5;5.5;5.5;5.5;5.5;5.5;0.0;0.0;0.0;0.0
320.0;;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;0.0;0.0;0.0;0.0
321.0;;5.7;5.7;5.7;5.7;5.7;5.7;5.7;5.7;0.0;0.0;0.0;0.0