E-G_MGO_Tank_Data;;;;;;;;;;;;;
SND;Ullage;VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
cm;cm;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3
30.0;;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.0;0.0;0.0;0.0
40.0;;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.0;0.0;0.0;0.0
50.0;;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.0;0.0;0.0;0.0
60.0;;0.72;0.72;0.72;0.72;0.72;0.72;0.72;0.72;0.0;0.0;0.0;0.0
70.0;;0.84;0.84;0.84;0.84;0.84;0.84;0.84;0.84;0.0;0.0;0.0;0.0
80.0;;0.96;0.96;0.96;0.96;0.96;0.96;0.96;0.96;0.0;0.0;0.0;0.0
90.0;;1.08;1.08;1.08;1.08;1.08;1.08;1.08;1.08;0.0;0.0;0.0;0.0
100.0;;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;0.0;0.0;0.0;0.0
110.0;;1.32;1.32;1.32;1.32;1.32;1.32;1.32;1.32;0.0;0.0;0.0;0.0
120.0;;1.44;1.44;1.44;1.44;1.44;1.44;1.44;1.44;0.0;0.0;0.0;0.0
130.0;;1.56;1.56;1.56;1.56;1.56;1.56;1.56;1.56;0.0;0.0;0.0;0.0
140.0;;1.68;1.68;1.68;1.68;1.68;1.68;1.68;1.68;0.0;0.0;0.0;0.0
150.0;;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;0.0;0.0;0.0;0.0
160.0;;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0