Incinerator_MGO_Tank_clean;;;;;;;;;;;;;
SND;Ullage;VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
cm;;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3
0.0;;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.0;0.0;0.0;0.0
10.0;;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.0;0.0;0.0;0.0
20.0;;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.0;0.0;0.0;0.0
30.0;;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.0;0.0;0.0;0.0
40.0;;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.0;0.0;0.0;0.0
50.0;;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.0;0.0;0.0;0.0
60.0;;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.48;0.0;0.0;0.0;0.0
70.0;;0.56;0.56;0.56;0.56;0.56;0.56;0.56;0.56;0.0;0.0;0.0;0.0
80.0;;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.0;0.0;0.0;0.0
90.0;;0.72;0.72;0.72;0.72;0.72;0.72;0.72;0.72;0.0;0.0;0.0;0.0
100.0;;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.0
110.0;;0.88;0.88;0.88;0.88;0.88;0.88;0.88;0.88;0.0;0.0;0.0;0.0
120.0;;0.96;0.96;0.96;0.96;0.96;0.96;0.96;0.96;0.0;0.0;0.0;0.0
130.0;;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;0.0;0.0;0.0;0.0
140.0;;1.28;1.28;1.28;1.28;1.28;1.28;1.28;1.28;0.0;0.0;0.0;0.0