Stuffing_Box_Drain_Tk;;;;;;;;;;;;;
SND;Ullage;VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
cm;cm;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3
0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5.0;;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.0;0.0;0.0;0.0
10.0;;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.0;0.0;0.0;0.0
15.0;;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.0;0.0;0.0;0.0
20.0;;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.0;0.0;0.0;0.0
25.0;;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.0;0.0;0.0;0.0
30.0;;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.0;0.0;0.0;0.0
35.0;;0.11;0.11;0.11;0.11;0.11;0.11;0.11;0.11;0.0;0.0;0.0;0.0
40.0;;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.0;0.0;0.0;0.0
45.0;;0.14;0.14;0.14;0.14;0.14;0.14;0.14;0.14;0.0;0.0;0.0;0.0
50.0;;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.15;0.0;0.0;0.0;0.0
55.0;;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.17;0.0;0.0;0.0;0.0
60.0;;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.18;0.0;0.0;0.0;0.0
65.0;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.0;0.0;0.0;0.0
70.0;;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.0;0.0;0.0;0.0
75.0;;0.23;0.23;0.23;0.23;0.23;0.23;0.23;0.23;0.0;0.0;0.0;0.0
80.0;;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.24;0.0;0.0;0.0;0.0
85.0;;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.0;0.0;0.0;0.0
90.0;;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.0;0.0;0.0;0.0
95.0;;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.0;0.0;0.0;0.0
100.0;;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
105.0;;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
110.0;;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0